no,disctrict,institude
1,रायपुर ,"प्रगति कॉलेज, सेंट्रल एवेन्यू ,चौबे कालोनी, रायपुर"
2,रायपुर ,"श्री रावतपुरा सरकार इंस्टिट्यूट ऑफ़ एजुकेशन मॉडर्न शिक्षा, धनेली, रायपुर   "
3,रायपुर ,"श्री रावतपुरा सरकार संस्थान एजुकेशन मॉडर्न शिक्षा, धनेली, रायपुर   "
4,रायपुर ,"ग्लोबल एजुकेशन इंस्टिट्यूट धनेली, रायपुर "
5,रायपुर ,"श्री रावतपुर सरकार इंस्टिट्यूट, नया रायपुर"
6,रायपुर ,"शांभवी स्कूल ऑफ एजुकेशन धुसेरा, रायपुर"
7,रायपुर ,"आर.आई.टी. ई.ई  कॉलेज ऑफ एजुकेशन, डुमरतालाब रायपुर, कांगेरवेली केम्पस, छत्तीसगढ "
8,रायपुर ,"महाराजा अग्रसेन इंटरनेशनल कॉलेज, समता कॉलोनी रायपुर छत्तीसगढ "
9,रायपुर ,"ग्रेसियस कॉलेज ऑफ एजुकेशन जामगाँव अभनपुर रायपुर, छत्तीसगढ"
10,रायपुर ,"क्रुति स्कूल ऑफ बिजनेस मैनेजमेंट, नरदहा, रायपुर, छत्तीसगढ"
11,रायपुर ,"कृति इंस्टिट्यूट ऑफ टीचर एजुकेशन,  नरदहा, रायपुर "
12,रायपुर ,"सी. आई. टी. डी.एड. कॉलेज अभनपुर, रायपुर"
13,रायपुर ,"श्रीराम कॉलेज सारागाँव, रायपुर "
14,रायपुर ,कोलंबिया कॉलेज रायपुर
15,गरियाबंद ,"इंस्टिट्यूट ऑफ़  टेक्नोलॉजी (I.T.S) एंड साइंसेज ,गरियाबंद  "
16,गरियाबंद ,"कचना धुरवा महाविद्यालय छुरा  जिला गरियाबंद , छत्तीसगढ़"
17,दुर्ग,श्री रावतपुरा सरकार  संस्थान  कुम्हारी  जिला -दुर्ग 
18,दुर्ग,"जी.एस.आर्य  कन्या  आर्य नगर महाविद्यालय,दुर्ग "
19,दुर्ग,जी.डी.रुंगटा शिक्षा एवं तकनीकी महाविद्यालय  भिलाई कोहका -कुरूद रोड जिला -दुर्ग
20,दुर्ग,"भिलाई मैत्री कॉलेज रिसाली ,भिलाई  जिला -दुर्ग"
21,दुर्ग,"अपोलो कॉलेज अंजोरा, दुर्ग छत्तीसगढ़"
22,दुर्ग,"छत्तीसगढ़  कॉलेज कोल ऑफ़ इनफार्मेशन टेक्नोलॉजी, जामुल भिलाई ,दुर्ग छत्तीसगढ़"
23,दुर्ग,"भिलाई कॉलेज ऑफ़ एजुकेशन, धनोरा, दुर्ग , छत्तीसगढ़"
24,दुर्ग,"विद्यापीठ महाविद्यालय किला  मंदिर दुर्ग ,छत्तीसगढ़"
25,दुर्ग,"जगत गुरु  शंकराचार्य  कॉलेज ऑफ़ एजुकेशन  हुडको भिलाई,दुर्ग  छत्तीसगढ़ "
26,दुर्ग,"कान्ती दर्शन महाविद्यालय,कांतीदर्शन  परिसर, कोसानगर भिलाई जिला - दुर्ग "
27,दुर्ग,"डॉ॰ राजेन्द्र प्रसादजिला-  आर्ट एवं कॉमर्स महाविद्यालय रेलवे क्रासिंग के पास,धनोरा रोड रिसाली भिलाई, जिला -दुर्ग  "
28,दुर्ग,"छ.ग वाणिज्य एवं  विज्ञान  महाविद्यालय, सेक्टर -6 भिलाई, जिला -दुर्ग"
29,दुर्ग,"छ.ग कल्याण शिक्षा  महाविद्यालय, ग्राम -अहेरी ,पो  आ.ढौर जिला -दुर्ग"
30,दुर्ग,"भारती महाविद्यालय ( बी.आई . आई . टी  ) दुर्ग पुलगांव चौक ,  जिला -दुर्ग"
31,दुर्ग,"रविशंकर कॉलेज ऑफ़ एजुकेशन  कुम्हारी ,जिला - दुर्ग "
32,दुर्ग,"स्वामी श्री  स्वरूपानन्द सरस्वती महाविद्यालय आमदी नगर, हुडको  दुर्ग"
33,दुर्ग,"श्री  शंकराचार्य महाविद्यालय जुनवानी, भिलाई  दुर्ग"
34,दुर्ग,"एम .जे  कॉलेज , कोहका भिलाई  जिला - दुर्ग"
35,दुर्ग,"शैलदेवी महाविद्यालय ,अंडा , जिला दुर्ग"
36,दुर्ग ,"देव संस्कृति कॉलेज ऑफ़  एजुकेशन एण्ड टेक्नोलॉजी  ग्राम - खपरी , जेवरा सिरा , भिलाई, जिला -दुर्ग"
37,दुर्ग ,"संदीपनी एकेडमी , कुम्हारी अहिरावारा रोड, अछोटी (मुरमुंदा ) धमधा , जिला - दुर्ग"
38,राजनांदगांव,"श्री राम शिक्षा ,महाविद्यालय राजनंदगांव"
39,राजनांदगांव,"कांती दर्शन  महाविद्यालय , 353, NH -6, स्वास्थ्य केंद्र  के पीछे  सोमनी, तह व  जिला  - राजनंदगांव"
40,राजनांदगांव,"संस्कार  सिटी  कॉलेज  ऑफ़  एजुकेशन  , ठाकुरटोला , राजनंदगांव"
41,बिलासपुर ,"डी.वी. विप्र शिक्षा महाविधालय बिरकोना, जिला बिलासपुर"
42,बिलासपुर ,"महर्षि विश्वविधालय ऑफ मेनेजमेंट एंड टेक्नोलॉजी महर्षि रोड, मंगला, बिलासपुर"
43,बिलासपुर ,"संत गुरु घासीदास कॉलेज ऑफ एजुकेशन, पचपेडी,  बिलासपुर"
44,बिलासपुर ,"संदीपनी एकेडमी बिलासपुर शिवरीनारायण, पेंडरी, पोस्ट मस्तुरी जिला-बिलासपुर "
45,बिलासपुर ,"जे. ई. एस कॉलेज ग्राम-फरहदा तह मस्तूरी, जिला-बिलासपुर"
46,बिलासपुर ,"सी एम डी स्नातकोत्तर महाविद्यालय, बिलासपुर "
47,बिलासपुर ,"महर्षि शिक्षा संसथान, मंगला बिलासपुर, जिला बिलासपुर "
48,गौरेला - पेंड्रा - मरवाही ,कॉलेज ऑफ़ एजुकेशन मेडुका  रोड  दर्री  पेंड्रा रोड  जिला गौरेला  -पेंड्रा - मरवाही  
49,गौरेला - पेंड्रा - मरवाही ,"आयुष कॉलेज  ऑफ़ एजुकेशन  ग्राम   मेडुका मरवाही , पोस्ट दर्री , तह .पेंड्रा  रोड  जिला  - गौरेला - पेंड्रा - मरवाही "
50,गौरेला - पेंड्रा - मरवाही ,"आयुष कॉलेज  ऑफ़ एजुकेशन मरवाही , पोस्ट दर्री , तह .पेंड्रा  रोड  जिला  - गौरेला - पेंड्रा - मरवाही"
51,मुंगेली,"सोनकर  कॉलेज , बुन्देली  घोरपुरा मुंगेली , जिला - मुंगेली"
52,जांजगीर  -चांपा ,शिवशक्ति  इंस्टीट्यूट खोरसी  शिवरीनारायण जिला जांजगीर  -चांपा 
53,जांजगीर  -चांपा ,"पं. हरिशंकर  कॉलेज  ऑफ़  एजुकेशन  , नैला रोड  , सरखो  जिला  जांजगीर  -चांपा "
54,जांजगीर  -चांपा ,जे .आर . डी .एजुकेशन  कॉलेज  पामगढ़ जिला - जांजगीर   
55,जांजगीर  -चांपा ,"लाल बहादुर  शास्त्री  महाविधालय ,बलोदा , जिला जांजगीर"
56,जांजगीर  -चांपा ,"राहौद एजुकेशन सोसायटी रहौद  , पामगढ़ जिला - जांजगीर "
57,जांजगीर  -चांपा ,भारती  स्कूल ऑफ़  एजुकेशन  राहौद जिला - जांजगीर  -चांपा 
58,जांजगीर  -चांपा ,"श्याम शिक्षा  महाविधालय रिशमतीर्थ  ,शक्ती जांजगीर  -चांपा "
59,जांजगीर  -चांपा ,"कोणार्क कॉलेज ऑफ़ एजुकेशन ,खोखसा जांजगीर"
60,जांजगीर  -चांपा ,"जगरानी देवी कॉलेज  ऑफ़ एजुकेशन  दर्रभाटा,जैजैपुर जांजगीर  -चांपा "
61,रायगढ़,"अभिमान  डी. एड . कॉलेज कुसमुरा  , रायगढ़ "
62,रायगढ़,"माँ मंगलम कॉलेज , लोहरसिंग ,कुंदातराई , तह. पुसौर  जिला रायगढ़"
63,रायगढ़,"जे .वी .जी कॉलेज  ऑफ़ एजुकेशन कोटरापाली रायगढ़ , छत्तीसगढ़"
64,जशपुर,"होलीक्रास बी .टी. आई ,पत्थलगांव"
65,महासमुंद,इंडियन कॉलेज ऑफ़ एजुकेशन बेलसोंडा महासमुंद  
66,महासमुंद,रामदर्शन  इंस्टीट्यूट ऑफ़ एजुकेशन  महासमुंद
67,महासमुंद,प्रतिभा कॉलेज ऑफ़ एजुकेशन बालसी सरायपाली महासमुंद छत्तीसगढ़ 
68,बस्तर,"सूर्या कॉलेज, गीदम  रोड,  जगदलपुर "
69,बस्तर,"क्राइस्ट कॉलेज, जगदलपुर,  जिला बस्तर "
70,सुकमा,"विश्वभारती इंस्टिट्यूट कोन्टा, जिला सुकमा"
